,Location,Retweet_Count,Date,Tweets
179,,0,Mon Mar 02 06:21:41 +0000 2020,@sardesairajdeep @AmitShah Just donâ€™t understand d logic of this govt. they r the one bringing #CAA and going after oppn bcoz people are not in favor.  Shouldnt they be reaching out n listening to people/opposition or is it a dictatorship?   This is Ind
181,,0,Mon Mar 02 06:19:26 +0000 2020,"@Logical59010344 @TheRahulMahajan Says someone who is defending #DelhiPolice after these awful #DelhiRiots ðŸ™„  And btw, I do support #CAA, I do oppose these stupid unlawful encroachment of #ShaheenBagh, I just can't say that Delhi Police let riots,murde"
184,,0,Mon Mar 02 06:13:00 +0000 2020,"@ShekharGupta You don't like #CAA so government should remove it...But people of ðŸ‡®ðŸ‡³ wanted #CAA to be brought in,so they voted for @BJP4India and @narendramodi @AmitShah @rsprasad"
187,,0,Mon Mar 02 06:02:49 +0000 2020,"@_VSriram @jayasartn @fayedsouza #CAA I am assuming that the avenues available to Muslims from Pakistan, Afghanistan and Bangladesh to apply for Indian citizenship are also available to Hindus and other minorities. So why is CAA needed? It is just causing"
188,,0,Mon Mar 02 05:55:48 +0000 2020,"@nilanjanaroy Hahaha dhimmis mixing un-conceived #NRC with #CAA which doesn't affect any of minorities of India. Central law #CAA passed with majority in LS and RS, no state Governments Resolutions can't stop it from implementing."
189,,0,Mon Mar 02 05:54:53 +0000 2020,@PChidambaram_IN #CAA  is meant to support and help the minorities staying in the other Countries .It doesn't effect the Muslim minorities who are already Citizens of India and who have been appeased for 7 Decades and will continue to be appeased. Please 
191,,0,Mon Mar 02 05:49:54 +0000 2020,@ajeetbharti @Sanjay_Dixit #CAA is to STAY! And many more laws to come! Try and stop. India  is used to of these islamist creating havoc and going on zombie killathone for last 1400 years. We are still 1billion Hindus and will remain so 5000 years later a
192,à¤­à¤¾à¤°à¤¤,0,Mon Mar 02 05:42:31 +0000 2020,In February 2020 Whole world is fighting against #coronavirus  India is fighting on #caa  Whole world is dealing with  market  crash India is counting death in riots and blaming eachother Hope march would be better
196,India,0,Mon Mar 02 05:39:37 +0000 2020,@sharmaAvl The hate which was created by media and liberals online with false narratives around #CAA was all unleashed on this innocent man.
197,,0,Mon Mar 02 05:39:25 +0000 2020,"@PChidambaram_IN Go and ask #ManMohanSingh and #Gandhiji as they wanted #CAA in the India.  We the Indian want #CAA, #NRC and #UCC and that's why we gave 303 seats to #NDA. Next time it will be 450 plus for sure. @narendramodi @AmitShah put this nerd behi"
199,Derby,0,Mon Mar 02 05:37:01 +0000 2020,Updates on the flights to and from Dubai to Bahrain have been limited to non since the last 48 total ban expired a few days ago? would be good to know on the run up to F1 weekend if and how they will resume fully? #bahrain #CAA  #gulfair @GulfAir @emirates  #dubai #DXB #F1
200,,0,Mon Mar 02 05:32:44 +0000 2020,@vishaliyer25 @fayedsouza #CAA Welcomes persecuted ppl to come to India &amp; it is a sign of great nation. But CAA + NRC make ONLY the Muslims stateless and send them to detention camps. Amend CAA to make it fair &amp; just â€“ include Myanmar &amp; Sri 
202,"Bengaluru, South India",0,Mon Mar 02 05:30:23 +0000 2020,"*Constitution is greater than Quran, Bible ,and Gita. larger discussions need to happen. We are doing a broad framework discussion on it. #CAA is also part of it* @BJP4Karnataka Leader MLC Narayanswamy. BJP plans to have a discussion on const in assembly from tomorrow till 5th."
203,,0,Mon Mar 02 05:28:48 +0000 2020,@jayasartn @fayedsouza #CAA Welcoming persecuted ppl to come to India is a sign of a great nation. But CAA + NRC make ONLY the Muslims stateless and send them to detention camps. Amend CAA to make it fair &amp; just â€“ include Myanmar &amp; Sri Lanka and
204,,0,Mon Mar 02 05:23:41 +0000 2020,"@Rahulanalytics @VeeryaSorry @Pun_Starr @kapsology @HemantSorenJMM If the REAL intention is help Refugees and no one else has to worry as claimed by Ministers,   Then can Govt add a clause in #CAA that:  a) It is APPLICABLE ONLY for REFUGEES Who APPLY vol"
205,,0,Mon Mar 02 05:22:50 +0000 2020,"@Pun_Starr @HemantSorenJMM If the REAL intention is help Refugees and no one else has to worry as claimed by Ministers,   Then can Govt add a clause in #CAA that:  a) It is APPLICABLE ONLY for REFUGEES Who APPLY voluntarily for citizenship  .  b) It can n"
206,,0,Mon Mar 02 05:22:12 +0000 2020,@fayedsouza Putting aside the purpose #CAA serves are you saying government should rollback CAA because of riots and loss of life.
207,Jerusalem ,0,Mon Mar 02 05:18:11 +0000 2020,"@fayedsouza Minorities who were left behind at the time of partition, some were not able to cross because of fear of life and loosing all their assets. They need #CAA, I still dont understand why any legal India citizen will oppose #CAA or you are dumb or"
210,,0,Mon Mar 02 05:14:57 +0000 2020,"@NrcProtest #CAA That is the spirit of unity and brotherhood. Religion is personal like a favourite color. See Indians as Indians first. Do not see them thru the labels of Hindu, Dalit, Muslim, Sikh or Jain. #BJP wants you to see thru these labels; it is "
212,,0,Mon Mar 02 05:12:12 +0000 2020,@noconversion and population control laws will see more resistance than #CAA. Those two will hit last nail on anti national elements who is dreaming for a different world. This two laws are a must to keep indic civilization @indiccollective @jsaideepak @S
213,"Bengaluru, India",0,Mon Mar 02 05:11:37 +0000 2020,@fayedsouza After 42 lives were list u understood it has nothing to do with indian citizens and agitation against #CAA is just to defame the country @ndtv @otvnews @the_hindu @TimesNow
215,Mumbai ,0,Mon Mar 02 05:04:45 +0000 2020,@sardesairajdeep @AmitShah Don't agree. #CAA issue is created by vested interest with a plan to communalism Hindu Muslims issue. In CAA there is no mention of loss of citizenship to any Indian including Muslims. Why wrong narrative created by political pa
216,,0,Mon Mar 02 05:03:26 +0000 2020,@pallavict @shahid_siddiqui #CAA Welcoming persecuted ppl to come to India is a sign of a great nation. But CAA + NRC make ONLY the Muslims stateless and send them to detention camps. Amend CAA to make it fair &amp; just â€“ include Myanmar &amp; Sri Lank
218,India,0,Mon Mar 02 04:59:44 +0000 2020,Those who asked why NPR is fighting against NRC. So the answer is those Hindus and Muslims of Delhi whose houses are burnt in the riots. Who had all the papers burnt. There are millions of families in the country whose papers are burnt.  @pappuyadavjapl #Delhi #CAA #DelhiRiot2020
219,"Mumbai, India",0,Mon Mar 02 04:54:10 +0000 2020,@khaInayak @Sydusm @fayedsouza Also divided the nation on basis of religion in '47 now crying discrimination. When ae such thr is no discrimination anywhere in #CAA. And people  who shld educate everyone abt the reality of are spreading mis-information an
220,City of Pearls,0,Mon Mar 02 04:50:09 +0000 2020,"#AmitShah I have a question, in case a #Hindu who is an illegal immigrant gets #Indian #Citizenship under #CAA and then reverts to #Islam ?  So what next ? Ghar wapsi 2 or CAA 2 ?"
221,à¤¸à¤®à¥à¤ªà¥‚à¤°à¥à¤£ à¤­à¤¾à¤°à¤¤ à¤®à¥‡à¤°à¤¾ à¤¹à¥ˆ ,0,Mon Mar 02 04:42:27 +0000 2020,@ishkarnBHANDARI Why does not govt bring a law to punish fake news? Fake narrative about #CAA by presstitutes and no action against them is responsible for #DelhiRiots .@rsprasad A lie said 100 tyms becomes truth.
222,,0,Mon Mar 02 04:40:09 +0000 2020,@fayedsouza #CAA has nothing to do with these cooked up riots and damages! Not a single Indian citizen is going to loose their citizenship under the act! But of course if you canâ€™t spread the hate and fake propaganda you canâ€™t be liberal!
223,,0,Mon Mar 02 04:36:40 +0000 2020,#HindusUniteForDharma  Just rename #CAA as minority protection bill and you will have not any protest
224,India,1,Mon Mar 02 04:35:45 +0000 2020,@PrinceArihan Riots proved necessity of #CAA and belated farsightedness of government.
226,,0,Mon Mar 02 04:21:29 +0000 2020,"""Untouchables become Hindus during Hindu-Muslim riots and go back to be untouchables once riots are over.""  - Dr. Ambedkar. #CAA #DelhiGenocide2020 #dalits #untouchables"
227,,1,Mon Mar 02 04:19:16 +0000 2020,"RT @FahadMaqsusi: #AmitShah I have a question, in case a #Hindu who is an illegal immigrant gets #Indian #Citizenship under #CAA and then râ€¦"
228,Bangalore,0,Mon Mar 02 04:15:21 +0000 2020,"@PChidambaram_IN Sir, please read. #CAA is to benefit all minorities of Afganistan, Bangladesh and Pakistan. Muslims are NOT minorities in those countries. Do you understand that or you want to create unrest because you are in Opposition?"
229,India,0,Mon Mar 02 04:14:55 +0000 2020,The same old 'Tu Tu- Mai Mai' political drama will be staged in the parliament today. All political parties must be held accountable for the mess in Delhi. They must collectively pay for the loss and damages. The #CAA stuff must end now. #_Suspend_delhi_govt  #Delhi  #DelhiBurns
232,,0,Mon Mar 02 03:54:57 +0000 2020,@sagarikaghose Do you honestly think #AmitShah and #NarendraModi or their #GoliMaro thugs and goons care a fig for what the #BritishParliament has to say on #CAA?
238,,0,Mon Mar 02 03:38:08 +0000 2020,@spinesurgeon Is Tamil Nadu prepared? I am not seeing any alertness from current administration on #COVID19? I am sure at India level Indian Govt is too distracted by its own #CAA mess and has not done anything to stop the virus.
239,,1,Mon Mar 02 03:32:10 +0000 2020,RT @jagatinfinity: @AmyMek And that's the kind of people @narendramodi has tried to help with #CAA .
247,,1,Mon Mar 02 03:17:54 +0000 2020,"@fayedsouza #CAA does NOT apply to Indian citizens. It merely fast-tracks citizenship for refugees from neighbouring Islamic nations. Like #AsiaBibi. IMO, @fayedsouza you and others like you are responsible for maliciously misrepresenting CAA -- resulting"
248,"Rajkot, India",0,Mon Mar 02 03:17:21 +0000 2020,@barbarindian @ajitdatta Till yesterday they were saying riots took place because of #KapilMishra and now trying to link them with #CAA What a spin
249,India,0,Mon Mar 02 03:16:10 +0000 2020,"@shahid_siddiqui Still the #CHAMCHAS of the British. You all will never come out of the mindset of puncture repairing. Repair the puncture of your brain too.  Weep, cry or moan but #CAA is now a reality and #CHAMCHAS should learn to live with it."
250,,0,Mon Mar 02 03:16:07 +0000 2020,"@GadgeRugved @mamidala90 Also when a section of people turns violent, they compromise the who protest. The whole crowd then has to be either shifted or dispersed ! Peaceful folks can gather later and protest. They blocked a major road for 60 days and a 2 "
255,,0,Mon Mar 02 03:03:28 +0000 2020,"@IndiaToday Hey @PChidambaram_IN everyone knows @INCIndia benifts form Muzlims vote bank and inturn leaches like you. #CAA is not for Indian Minorities, and Muzlimz are not minority in these 3 Mulimz nation's. Go and burn your bottom somewhere else."
257,,2,Mon Mar 02 03:01:03 +0000 2020,"@BesuraTaansane The fires of protest against #CAA started only after the congress party created the falsehood that the Act was discriminatory against Indian Muslims. The police should book Sonia Gandhi and her cohorts for spreading hate, leading to Delhi "
