,Location,Retweet_Count,Date,Tweets
274,,0,Thu Feb 27 03:59:28 +0000 2020,"@maverickraahul Once a bill is PASSED by both houses, i can't seem to understand why do ppl need to disrespect it... let's see what the supreme court have to say on this.. hopefully soon ðŸ˜¤ðŸ˜¤  And yes #NRC was supreme Courts order"
276,,0,Thu Feb 27 03:27:26 +0000 2020,"@sshneiderman @iamjohnoliver Sara I have great respect for you, you lie you loose respect. Only 3 people were allowed to ask questions. I was one of them. Honestly, sister you were not at all prepared. You need to get facts and figures right. #NRC you cou"
284,India,0,Thu Feb 27 02:32:10 +0000 2020,@MajorPoonia these people should be thrown out of India indians pls get up and support #NRC Should come now its high time........
286,,0,Thu Feb 27 02:26:03 +0000 2020,We are with #ISupportAmitShah the perpetrators of Delhi violence should not be spared and please move ahead with #NRC all these are tactics to scuttle NRC so Crores of illegal Bangladeshi's are not thrown out
293,New Delhi,0,Wed Feb 26 19:03:04 +0000 2020,How tough is it for the present government to publish a statement saying that #CAA_ and #NRC will not come to force against the wishes of the majority population?!
294,,0,Wed Feb 26 18:47:50 +0000 2020,#DelhiRiots2020  All  Hindu Asim fans will come to know he is not in support of #CAB and #NRC  All will realize there mistake for support a liar and a muslim
295,"Chennai, India",0,Wed Feb 26 18:27:43 +0000 2020,I request you @AmitShah and @narendramodi ji please bring #NRC ASAP or else this illiagal immigrants combined with radical indians muslims would kill all Hindus.. it's Now or never like sisuation. #NRC #WeWantNRC #AAP #bjp @BJP4India Hindu Muslim #DelhiRiots #delhivoilence
301,NE IND,0,Wed Feb 26 17:41:23 +0000 2020,"@editoraju @ReallySwara Did she's able to get drafts of #NRC  Did she lost her ""Kagaj"" during #DelhiRiots2020  She is such element responsible for misguide #Muslims And don't forget Court asked for collect #videos of hate speeches and you should be a cust"
317,,0,Wed Feb 26 16:22:50 +0000 2020,Newly join twitter.... The only reason is.... Delhi me ho rhe #Dange ... Yrrr logo ko smjh nhi aa rha kya khana khate h ya ghaansðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡... @narendramodi  aap bs aage badhiye pura desh apke sth hðŸ™ðŸ™ðŸ™.... I support #NRC and #CAB .... I support modiðŸ™ðŸ™ðŸ™ðŸ™ðŸ™ðŸ™
318,Uttarakhand,0,Wed Feb 26 16:21:24 +0000 2020,#Inshallaha just will be cancel..! #NRP &amp; #NRC May all Indians have patience and pray to #Allaha...!!â¤ðŸ™
335,Mumbai,0,Wed Feb 26 14:23:28 +0000 2020,"@smitadeshmukh @iamjohnoliver Well u are as dumb as u sound right now well what will happen and it's gonna happen when they announce #NRC and they have already done that partially  Please read both laws with ur 4 eyes,i'll pray for you that your documents"
